Pt. no.,Code,Northing,Easting,Elevation
315,ANT,2932481.478,423601.948,
316,ANT,2932473.315,423587.802,
152,BLD1,2932522.165,423598.21,129.283
153,BLD1,2932528.253,423604.119,129.289
154,BLD1,2932528.283,423606.252,129.288
155,BLD1,2932527.244,423607.357,130.437
156,BLD1,2932531.226,423609.062,129.993
157,BLD1,2932533.372,423609.033,129.975
158,BLD1,2932533.538,423609.579,129.98
159,BLD1,2932534.524,423610.167,129.056
160,BLD1,2932539.361,423614.869,129.05
161,BLD1,2932539.404,423616.961,129.073
162,BLD1,2932534.413,423626.422,128.954
163,BLD1,2932541.934,423615.924,130.792
270,BLD1,2932520.802,423636.336,
271,BLD1,2932518.686,423636.361,
272,BLD1,2932512.67,423630.575,
273,BLD1,2932512.615,423628.432,
274,BLD1,2932511.035,423624.83,
275,BLD1,2932509.275,423625.593,
276,BLD1,2932508.845,423634.515,
277,BLD1,2932500.852,423619.205,
320,BLD1,2932471.317,423576.557,
322,BLD1,2932492.054,423611.726,
323,BLD1,2932486.536,423611.808,
324,BLD1,2932486.544,423611.444,
325,BLD1,2932487.022,423605.679,
326,BLD1,2932487.122,423605.325,
327,BLD1,2932488.838,423600.908,
328,BLD1,2932489.018,423600.573,
329,BLD1,2932492.403,423597.299,
330,BLD1,2932491.892,423596.885,
331,BLD1,2932474.398,423594.452,
332,BLD1,2932487.316,423592.56,
333,BLD1,2932486.435,423592.153,
334,BLD1,2932483.813,423588.122,
335,BLD1,2932485.44,423586.348,
336,BLD1,2932486.562,423585.176,
337,BLD1,2932489.74,423581.896,
350,BLD1,2932490.567,423581.65,
361,BLD1,2932473.622,423558.92,
362,BLD1,2932473.833,423549.585,
363,BLD1,2932484.71,423555.879,
364,BLD1,2932494.814,423546.912,
365,BLD1,2932497.042,423552.821,
366,BLD1,2932493.103,423558.051,
367,BLD1,2932471.253,423544.871,
368,BLD1,2932469.062,423568.198,
369,BLD1,2932454.171,423531.278,
374,BLD1,2932494.173,423586.125,
375,BLD1,2932492.123,423588.294,
376,BLD1,2932490.461,423590.027,
377,BLD1,2932494.336,423590.291,
378,BLD1,2932492.617,423588.629,
379,BLD1,2932513.608,423583.681,
380,BLD1,2932513.821,423594.415,
381,BLD1,2932493.012,423595.918,
382,BLD1,2932498.935,423589.654,
383,BLD1,2932502.51,423586.555,
384,BLD1,2932512.875,423574.592,
385,BLD1,2932531.414,423609.068,
386,BLD1,2932534.335,423609.989,
190,BLD2,2932569.867,423700.883,138.083
191,BLD2,2932569.863,423711.054,135.602
192,BLD2,2932568.973,423719.781,132.32
222,BLD3,2932511.662,423714.29,130.446
223,BLD3,2932497.823,423717.711,134.515
4,CP,2932550.429,423598.233,127.869
3,CP,2932575.457,423649.913,127.951
5,CP,2932560.145,423720.728,128.071
6,CP,2932515.534,423721.459,128.034
2,CP,2932510.287,423639.017,127.972
1,CP,2932468.024,423594.327,127.912
8,CP,2932469.669,423574.233,128.069
7,CP,2932516.952,423567.523,127.952
133,GD,2932555.352,423613.911,127.886
134,GD,2932544.337,423617.779,127.746
135,GD,2932534.316,423607.5,127.756
136,GD,2932528.09,423594.808,127.765
137,GD,2932536.446,423599.317,127.868
138,GD,2932536.753,423587.486,127.785
139,GD,2932548.662,423607.359,127.907
140,GD,2932555.807,423609.162,127.916
141,GD,2932562.162,423614.162,127.911
142,GD,2932569.357,423624.888,127.923
143,GD,2932579.074,423640.301,128.009
144,GD,2932579.901,423654.164,128.006
145,GD,2932583.652,423661.279,128.058
146,GD,2932569.998,423661.989,127.875
147,GD,2932559.163,423660.553,127.865
148,GD,2932550.144,423657.685,127.849
149,GD,2932549.694,423645.416,127.843
