Pt. no.,Code,Northing,Easting,Elevation
100,CP3,2932575.457,423649.913,127.951
101,CP4,2932550.429,423598.233,127.869
177,T,2932496.173,423662.039,129.365
178,T,2932497.066,423649.669,130.909
179,T,2932510.775,423647.947,130.483
180,BLD1,2932518.738,423636.373,132.739
181,BLD1,2932522.25,423634.877,129.058
182,BLD1,2932536.713,423628.622,129.35
183,BLD1,2932532.133,423623.676,130.941
184,BLD1,2932539.414,423616.341,129.853
185,LH20,2932511.719,423714.212,132.178
186,LH20,2932511.876,423706.147,130.208
187,LH20,2932507.756,423690.786,130.528
188,LH20,2932499.929,423676.965,130.543
189,LH20,2932488.835,423665.577,130.456
190,LH20,2932474.525,423659.217,130.973
191,STG,2932549.75,423689.682,129.142
192,STG,2932573.268,423651.983,129.416
193,STG,2932573.747,423652.996,129.449
194,STG,2932531.693,423701.7,129.555
195,GD,2932562.667,423642.105,127.877
196,GD,2932553.107,423640.631,127.852
197,GD,2932545.109,423647.226,127.842
198,GD,2932530.24,423655.01,127.884
199,GD,2932525.045,423666.066,127.879
200,GD,2932527.846,423678.543,127.868
201,GD,2932535.205,423684.335,127.873
202,GD,2932543.4,423671.896,127.853
203,GD,2932541.408,423661.145,127.847
204,GD,2932552.108,423659.964,127.892
205,GD,2932516.48,423651.548,127.918
206,GD,2932511.966,423664.533,127.921
207,GD,2932510.462,423676.33,127.928
208,GD,2932514.803,423686.405,127.935
209,ROAD,2932577.947,423660.709,128.002
210,ROAD,2932578.09,423667.276,128.032
211,ROAD,2932578.532,423677.499,128.031
212,ROAD,2932572.887,423681.332,128.03
213,ROAD,2932567.864,423684.997,128.06
214,PL,2932522.279,423685.418,130.144
215,PL,2932583.751,423685.268,129.671
